SAT_Reading,Reading_Effect,Reading Confidence Lower,Reading Confidence Upper
406.2111801242236,-21.570265925067,-29.9812306118707,-13.159301238263302
407.4534161490683,-21.408782709798224,-29.89340022908477,-12.92416519051168
408.695652173913,-21.24952126148549,-29.79937968989076,-12.699662833080222
409.9378881987577,-21.092853433612788,-29.69823396141806,-12.487472905807515
411.18012422360243,-20.939151079664093,-29.589170307927603,-12.289131851400581
412.42236024844715,-20.78877344943723,-29.471593374407917,-12.105953524466543
413.6645962732919,-20.64182633588608,-29.345699182850865,-11.937953488921297
414.90683229813664,-20.498180799115325,-29.212392196264446,-11.783969401966203
416.14906832298135,-20.35769904725797,-29.072697985846585,-11.642700108669356
417.39130434782606,-20.220243288447023,-28.927710523481608,-11.51277605341244
418.6335403726708,-20.085675730815517,-28.778563997551643,-11.39278746407939
419.87577639751555,-19.953858582496462,-28.626406775037406,-11.281310389955518
421.11801242236027,-19.82465405162289,-28.472376895083983,-11.176931208161795
422.360248447205,-19.697924346327817,-28.317578716731852,-11.07826997592378
423.6024844720497,-19.573531674744256,-28.16306055778714,-10.98400279170137
424.8447204968944,-19.451338245005235,-28.00979335554164,-10.892883134468834
426.0869565217391,-19.33120626524377,-27.85865055174297,-10.803761978744577
427.32919254658384,-19.212997943592885,-27.710389548795206,-10.715606338390563
428.57142857142856,-19.096575488185604,-27.56563519423547,-10.62751578213574
429.81366459627327,-18.981801107154926,-27.424865818076476,-10.538736396233375
431.055900621118,-18.868537008633897,-27.28840236611051,-10.448671651157284
432.2981366459627,-18.756645400755517,-27.156401138830912,-10.356889662680121
433.5403726708074,-18.645988491652812,-27.02885056266631,-10.263126420639313
434.78260869565213,-18.536428489458814,-26.90557229632555,-10.16728468259208
436.02484472049684,-18.42782760230653,-26.786226824632486,-10.069428379980572
437.26708074534156,-18.32004803832898,-26.67032353393649,-9.969772542721474
438.50931677018633,-18.21295200565918,-26.557235117359994,-9.868668893958366
439.75155279503105,-18.10640171243017,-26.446216043871267,-9.76658738098907
440.99378881987576,-18.000259366774948,-26.33642475757632,-9.664093975973575
442.2360248447205,-17.894387176826548,-26.226949262035514,-9.561825091617582
443.4782608695652,-17.788647350717984,-26.11683579164789,-9.460458909788077
444.7204968944099,-17.68290209658228,-26.00512037495111,-9.360683818213444
445.9627329192547,-17.577013622552442,-25.890863244888546,-9.263164000216339
