,ngss_pred
427,1000.181938966079
428,1000.0330877586224
429,1000.0069637341726
430,1000.0053381595443
431,1003.309360152988
432,1000.0054156405697
433,1063.2392032079892
434,1000.0098292656538
435,1000.0458522281456
436,1000.182912844588
437,1000.0030011301749
438,1000.001524206271
439,1000.0080085703605
440,1000.0004191876566
441,1000.0060635651356
442,1000.0030011301749
443,1000.012269083772
444,1000.0018630135263
445,1000.0124768108932
446,1000.0231767693018
447,1000.0029401180902
448,1000.0185262554813
449,1000.0047817936237
450,1000.0134859013831
451,1000.000397282804
452,1000.0066097512522
453,1000.0212294733308
454,1000.0511275291252
455,1000.0060833236852
456,1000.0024839166728
457,1000.0009898024721
458,1000.0009826826521
459,1005.7657401071134
460,1000.0036314279315
461,1000.0035172497728
462,1000.0030806661777
463,1000.0014811056723
464,1000.3709655562476
465,1000.0012914499698
466,1000.0022674241291
467,1000.024025817231
468,1000.0031696174561
469,1000.0080763671359
470,1000.0005905987426
471,1000.0205918343233
472,1000.0998573515441
473,1000.0030011301749
474,1000.2594030702538
475,1000.0300501999473
476,1000.0179701357679
477,1000.0010630907401
478,1000.0013844730817
479,1000.0511275291252
480,1000.076958670621
481,1000.0041618100717
482,1000.0011975353984
483,1000.001905303766
