Year,SAT_Total,SAT_Reading,SAT_Math,NGSS
2025,940,460,480,1095
2025,1000,530,470,1113
2025,930,470,460,1088
2025,830,420,410,1091
2025,970,540,430,1121
2025,910,480,430,1105
2025,830,450,380,1071
2025,1100,580,520,1102
2025,1220,660,560,1103
2025,810,400,410,1067
2025,1050,510,540,1120
2025,910,490,420,1109
2025,1190,610,580,1143
2025,1200,640,560,1138
2025,1380,710,670,1162
2025,1070,590,480,1116
2025,910,470,440,1094
2025,1090,650,440,1101
2025,750,370,380,1087
2025,1210,650,560,1153
2025,1070,560,510,1119
2025,1090,540,550,1094
2025,1140,610,530,1118
2025,970,520,450,1119
2025,870,460,410,1114
2025,990,520,470,1140
2025,830,410,420,1109
2025,1150,610,540,1142
2025,1060,540,520,1132
2025,1270,650,620,1162
2025,930,510,420,1110
2025,880,490,390,1101
2025,1040,570,470,1148
2025,940,500,440,1088
2025,1300,640,660,1123
2025,1360,680,680,1129
2025,970,510,460,1117
2025,980,540,440,1118
2025,950,500,450,1118
2025,640,340,300,1089
2025,1000,570,430,1111
2025,1140,660,480,1138
2025,1350,690,660,1144
2025,1140,610,530,1140
2025,920,500,420,1065
2025,1360,720,640,1199
2025,1140,630,510,1120
2025,1090,570,520,1116
2025,1090,550,540,1117
2025,1250,630,620,1128
2025,1170,600,570,1107
2025,960,530,430,1142
2025,910,500,410,1120
2025,1340,670,670,1142
2025,1010,540,470,1121
2025,1390,710,680,1179
2025,1030,560,470,1116
2025,1020,610,410,1109
2025,1170,640,530,1122
2025,940,500,440,1107
2025,910,470,440,1117
2025,950,530,420,1125
2025,1130,520,610,1132
2025,970,530,440,1115
2025,940,500,440,1116
2025,920,530,390,1096
2025,1110,540,570,1127
2025,1150,580,570,1116
2025,1000,580,420,1107
2025,920,490,430,1089
2025,1200,590,610,1137
2025,960,520,440,1104
2025,960,550,410,1101
2025,1020,490,530,1085
2025,1030,550,480,1125
2025,1130,590,540,1110
2025,1150,610,540,1116
2025,1000,540,460,1113
2025,950,500,450,1087
2025,1000,500,500,1108
2025,890,450,440,1093
2025,1260,710,550,1148
2025,930,500,430,1125
2025,980,520,460,1108
2025,820,430,390,1096
2025,1080,530,550,1114
2025,1210,650,560,1139
2025,960,490,470,1086
2025,860,450,410,1097
2025,1070,590,480,1133
2025,880,470,410,1112
2025,720,370,350,1056
2025,890,440,450,1070
2025,1150,590,560,1127
2025,1230,620,610,1167
2025,940,500,440,1121
2025,1170,650,520,1172
2025,1000,590,410,1137
2025,650,320,330,1083
2025,870,440,430,1093
2025,1010,510,500,1116
2025,1150,610,540,1137
2025,1150,620,530,1124
2025,1150,560,590,1119
2025,920,470,450,1105
2025,920,480,440,1101
