Year,SAT_Math_z,SAT_Read_z,NGSS
2024,-0.033610009046664405,-0.2589286841046246,1097
2024,-2.4951009347536823,-3.384152701726532,1062
2024,0.1804326801452502,0.3661161194197568,1100
2024,1.7857528490846097,0.2619419854990266,1127
2024,1.464688815296738,1.1995091907855986,1132
2024,-0.6757380766224083,-0.15475455018389436,1128
2024,1.0366034369129087,0.5744643872612173,1137
2024,2.7489449504482257,2.4495987978343616,1199
2024,-0.6757380766224083,-0.7797993537082758,1111
2024,0.7155394031250367,0.2619419854990266,1127
2024,-0.8897807658143229,-0.46727695194608504,1069
2024,0.9295820923169513,0.4702902533404871,1093
2024,-0.5687167320264509,-0.6756252197875455,1080
2024,0.2874540247412075,0.05359371765756611,1125
2024,-1.2108447996021947,-2.134063094677769,1066
2024,1.143624781508866,0.886986789023408,1144
2024,-0.033610009046664405,0.6786385211819476,1102
2024,-3.1372290023294265,-1.404844157232657,1055
2023,1.0366034369129087,0.15776785157829634,1088
2023,1.0366034369129087,0.4702902533404871,1123
2023,2.855966295044183,1.82455399430998,1103
2023,-0.14063135364262172,-0.9881476215497362,1071
2023,-0.24765269823857902,0.5744643872612173,1099
2023,1.0366034369129087,-0.3631028180253548,1127
2023,0.3944753693371648,-0.2589286841046246,1100
2023,0.3944753693371648,-0.7797993537082758,1087
2023,0.1804326801452502,-0.15475455018389436,1097
2023,1.143624781508866,0.3661161194197568,1115
2023,-0.033610009046664405,0.3661161194197568,1124
2023,0.6085180585290795,1.0953350568648685,1122
2023,1.9997955382765245,1.82455399430998,1086
2023,-0.7827594212183655,-0.6756252197875455,1100
2023,0.8225607477209941,0.4702902533404871,1111
2023,0.5014967139331221,-0.3631028180253548,1110
2023,-1.2108447996021947,0.2619419854990266,1081
2023,1.0366034369129087,0.6786385211819476,1170
2023,-0.6757380766224083,-0.6756252197875455,1069
2023,1.464688815296738,0.9911609229441383,1140
2023,-1.7459515225819813,-0.9881476215497362,1081
2023,0.8225607477209941,0.05359371765756611,1095
2023,-1.317866144198152,-1.717366558994848,1081
2023,0.8225607477209941,0.5744643872612173,1116
2023,0.5014967139331221,0.3661161194197568,1162
2023,-0.9968021104102801,-0.883973487629006,1038
2023,1.0366034369129087,-0.05058041626316412,1116
2023,1.5717101598926952,1.6162057264685197,1156
2023,-0.46169538743049365,-1.404844157232657,1086
2023,0.2874540247412075,0.3661161194197568,1117
2023,1.5717101598926952,1.6162057264685197,1108
2023,1.464688815296738,1.9287281282307103,1142
2023,0.1804326801452502,0.15776785157829634,1105
