Year,DRG,District,ELA,Math,NGSS,DRG_num
2023,N/A,Unified School District #2,,,,0
2023,G,Vernon School District,471,456,1094,7
2023,None due to lack of data,Voluntown School District,,,,0
2023,D,Wallingford School District,497,479,1104,4
2023,I,Waterbury School District,419,404,1075,9
2023,D,Waterford School District,535,519,1106,4
2023,D,Watertown School District,486,478,1099,4
2023,B,West Hartford School District,542,546,1120,2
2023,H,West Haven School District,447,429,1095,8
2023,None due to lack of data,Westbrook School District,509,491,1099,0
2023,A,Weston School District,597,575,1120,1
2023,A,Westport School District,602,613,1113,1
2023,C,Wethersfield School District,494,485,1096,3
2023,A,Wilton School District,607,601,1130,1
2023,F,Winchester School District,,,,6
2023,I,Windham School District,398,384,1072,9
2023,F,Windsor Locks School District,477,462,1095,6
2023,D,Windsor School District,472,457,1099,4
2023,E,Wolcott School District,483,471,1088,5
2023,C,Woodstock School District,,,,3
2024,N/A,Achievement First Bridgeport Academy District,435,421,1075,0
2024,N/A,Achievement First Hartford Academy District,411,414,1074,0
2024,N/A,Amistad Academy District,452,418,1078,0
2024,G,Ansonia School District,432,405,1084,7
2024,N/A,Area Cooperative Educational Services,,,,0
2024,B,Avon School District,575,555,1111,2
2024,D,Berlin School District,520,499,1117,4
2024,D,Bethel School District,521,510,1118,4
2024,G,Bloomfield School District,438,412,1090,7
2024,C,Bolton School District,536,525,1117,3
2024,None due to lack of data,Bozrah School District,,,,0
2024,D,Branford School District,506,485,1098,4
2024,I,Bridgeport School District,412,391,1078,9
2024,G,Bristol School District,458,443,1101,7
2024,B,Brookfield School District,534,507,1110,2
2024,F,Brooklyn School District,,,,6
2024,E,Canterbury School District,,,,5
2024,B,Canton School District,550,520,1123,2
2024,N/A,Capital Preparatory Harbor School District,459,437,1096,0
2024,N/A,Capitol Region Education Council,444,407,1082,0
2024,B,Cheshire School District,553,532,1113,2
2024,D,Clinton School District,498,490,1102,4
2024,C,Colchester School District,512,497,1101,3
2024,N/A,Common Ground High School District,455,434,1089,0
2024,N/A,Connecticut Technical Education and Career System,431,414,1091,0
2024,N/A,Cooperative Educational Services,,,,0
2024,D,Coventry School District,527,502,1115,4
2024,D,Cromwell School District,528,506,1107,4
2024,H,Danbury School District,432,419,1087,8
2024,A,Darien School District,605,594,1121,1
2024,G,Derby School District,439,398,1081,7
2024,C,East Granby School District,538,509,1115,3
2024,D,East Haddam School District,527,477,1095,4
2024,E,East Hampton School District,528,489,1109,5
2024,H,East Hartford School District,439,425,1086,8
2024,G,East Haven School District,450,436,1099,7
2024,C,East Lyme School District,557,517,1112,3
2024,E,East Windsor School District,445,430,1090,5
2024,N/A,Eastern Connecticut Regional Educational Service Center (EASTCONN),496,436,1095,0
2024,None due to lack of data,Eastford School District,,,,0
2024,N/A,EdAdvance,,,,0
2024,C,Ellington School District,534,512,1104,3
2024,N/A,Elm City College Preparatory School District,463,422,1081,0
2024,D,Enfield School District,497,481,1107,4
2024,N/A,Explorations District,419,381,,0
2024,B,Fairfield School District,565,540,1111,2
2024,B,Farmington School District,568,547,1119,2
2024,B,Glastonbury School District,566,555,1109,2
2024,N/A,Goodwin University Educational Services (GUES),438,398,1074,0
2024,C,Granby School District,562,526,1122,3
2024,N/A,Great Oaks Charter School District,382,375,1073,0
2024,B,Greenwich School District,578,566,1130,2
2024,None due to lack of data,Griswold School District,469,447,1102,0
2024,G,Groton School District,481,467,1094,7
2024,B,Guilford School District,561,545,1104,2
2024,D,Hamden School District,478,450,1088,4
2024,I,Hartford School District,413,402,1080,9
2024,None due to lack of data,Hartland School District,,,,0
2024,N/A,Highville Charter School District,,,,0
2024,N/A,Jumoke Academy District,,,,0
2024,G,Killingly School District,481,441,1088,7
2024,N/A,Learn,543,498,1113,0
2024,F,Lebanon School District,505,462,1104,6
2024,D,Ledyard School District,503,474,1107,4
2024,C,Litchfield School District,525,495,1097,3
2024,A,Madison School District,569,570,1121,1
2024,G,Manchester School District,452,439,1084,7
2024,H,Meriden School District,440,419,1088,8
2024,G,Middletown School District,461,427,1086,7
2024,D,Milford School District,509,486,1095,4
2024,B,Monroe School District,532,507,1102,2
2024,F,Montville School District,482,451,1094,6
2024,G,Naugatuck School District,445,417,1088,7
2024,I,New Britain School District,419,393,1075,9
2024,A,New Canaan School District,599,588,1129,1
2024,C,New Fairfield School District,528,507,1096,3
2024,I,New Haven School District,438,411,1081,9
2024,I,New London School District,388,379,1077,9
2024,D,New Milford School District,510,477,1096,4
2024,D,Newington School District,503,490,1108,4
2024,C,Newtown School District,548,535,1106,3
2024,D,North Branford School District,495,480,1098,4
2024,C,North Haven School District,515,497,1113,3
2024,None due to lack of data,North Stonington School District,536,515,1111,0
2024,H,Norwalk School District,459,455,1088,8
2024,N/A,Norwich Free Academy District,467,440,1093,0
2024,H,Norwich School District,,,,8
2024,D,Old Saybrook School District,545,515,1111,4
2024,B,Oxford School District,506,500,1103,2
2024,G,Plainfield School District,480,434,1092,7
2024,G,Plainville School District,499,489,1095,7
2024,F,Plymouth School District,463,443,1093,6
2024,None due to lack of data,Portland School District,502,477,1101,0
2024,E,Preston School District,,,,5
2024,G,Putnam School District,451,424,1083,7
2024,None due to lack of data,Regional School District 01,495,465,1094,0
2024,D,Regional School District 04,499,477,1100,4
2024,B,Regional School District 05,553,532,1101,2
2024,C,Regional School District 06,513,486,1101,3
2024,C,Regional School District 07,517,493,1102,3
2024,C,Regional School District 08,534,523,1105,3
2024,C,Regional School District 09,569,553,1131,3
2024,C,Regional School District 10,539,489,1115,3
2024,E,Regional School District 11,534,492,1110,5
2024,D,Regional School District 12,540,504,1111,4
2024,C,Regional School District 13,532,501,1109,3
2024,C,Regional School District 14,501,499,1100,3
2024,B,Regional School District 15,540,544,1116,2
2024,D,Regional School District 16,514,494,1106,4
2024,C,Regional School District 17,548,536,1114,3
2024,C,Regional School District 18,569,551,1117,3
2024,D,Regional School District 19,534,504,1108,4
2024,A,Ridgefield School District,590,573,1117,1
2024,B,Rocky Hill School District,516,519,1100,2
2024,C,Salem School District,,,,3
2024,D,Seymour School District,499,477,1099,4
2024,D,Shelton School District,514,505,1100,4
2024,C,Sherman School District,,,,3
2024,B,Simsbury School District,574,555,1130,2
2024,C,Somers School District,537,504,1106,3
2024,B,South Windsor School District,545,540,1125,2
2024,C,Southington School District,516,494,1104,3
2024,F,Sprague School District,,,,6
2024,F,Stafford School District,485,481,1104,6
2024,N/A,Stamford Academy District,,,,0
2024,H,Stamford School District,474,453,1088,8
2024,None due to lack of data,Sterling School District,,,,0
2024,C,Stonington School District,551,517,1121,3
2024,G,Stratford School District,448,425,1090,7
2024,C,Suffield School District,539,509,1117,3
2024,N/A,The Bridge Academy District,429,422,1083,0
2024,N/A,The Gilbert School District,481,453,1087,0
2024,N/A,The Woodstock Academy District,518,484,1097,0
2024,E,Thomaston School District,501,476,1098,5
2024,F,Thompson School District,473,435,1092,6
2024,C,Tolland School District,535,522,1097,3
2024,G,Torrington School District,463,447,1088,7
2024,B,Trumbull School District,545,543,1118,2
2024,N/A,Unified School District #2,,,,0
2024,G,Vernon School District,475,450,1097,7
2024,None due to lack of data,Voluntown School District,,,,0
2024,D,Wallingford School District,489,463,1102,4
2024,I,Waterbury School District,412,390,1076,9
2024,D,Waterford School District,543,530,1116,4
2024,D,Watertown School District,481,437,1095,4
2024,B,West Hartford School District,555,534,1119,2
2024,H,West Haven School District,437,422,1091,8
2024,None due to lack of data,Westbrook School District,508,498,1101,0
2024,A,Weston School District,600,562,1129,1
2024,A,Westport School District,612,602,1128,1
2024,C,Wethersfield School District,510,490,1103,3
2024,A,Wilton School District,605,599,1132,1
2024,F,Winchester School District,,,,6
2024,I,Windham School District,419,390,1083,9
